destination;11;12;13;14;15;16;17;21;31;32;33;34;35;41;42;43;44;45;46;47;51;52;53;61;62;63;64
11;0;2;2;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;4;4;4;4
12;2;0;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
13;2;3;0;2;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
14;2;3;2;0;1;2;1;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
15;2;3;2;1;0;2;1;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
16;2;3;2;2;2;0;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
17;2;3;2;1;1;1;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4
21;4;4;4;3;2;4;4;0;3;2;4;3;3;4;4;4;4;4;4;4;4;4;2;4;4;2;2
31;4;4;4;4;4;4;4;3;0;4;4;4;4;4;4;4;4;4;3;3;4;4;3;4;4;2;2
32;4;4;4;4;4;4;4;2;4;0;4;4;3;4;4;4;4;4;3;3;4;4;2;4;4;2;2
33;4;4;4;4;4;4;4;4;4;4;0;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4
34;4;4;4;4;4;4;4;3;4;4;3;0;3;4;4;4;4;4;3;3;4;4;4;4;4;4;4
35;4;4;4;4;4;4;4;3;4;3;3;3;0;4;4;4;4;4;4;4;4;4;4;4;4;4;4
41;4;4;4;4;4;4;4;4;4;4;4;4;4;0;2;2;3;3;4;4;4;4;4;4;4;4;4
42;4;4;4;4;4;4;4;4;4;4;4;4;4;2;0;2;3;3;3;3;4;4;4;4;4;4;4
43;4;4;4;4;4;4;4;4;4;4;4;4;4;2;2;0;3;3;3;3;4;4;4;4;4;4;4
44;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;0;3;3;3;4;4;4;4;4;4;4
45;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;0;3;3;4;4;4;4;4;4;4
46;4;4;4;4;4;4;4;4;3;3;4;3;4;4;3;3;3;3;0;2;4;4;4;4;4;4;4
47;4;4;4;4;4;4;4;4;3;3;4;3;4;4;3;3;3;3;2;0;4;4;4;4;4;4;4
51;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;2;2;4;4;4;4
52;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;0;3;4;4;4;4
53;3;4;4;4;4;4;4;2;3;2;4;4;4;4;4;4;4;4;4;4;2;3;0;4;4;4;4
61;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;4;4;3
62;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;4;4
63;4;4;4;4;4;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;1
64;4;4;4;4;4;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;1;0
